,year,2.0,4.0,6.0,7.5,8.0,10.0,12.0,12.5,14.0,15.0
0,1979,8.004962263029656,6.416800380341119,4.855032091281869,4.281950139656504,4.144046770071908,3.8356584655613006,3.8170945504249123,3.7918375230284673,3.574248232008083,3.4717047007785102
1,1980,7.788004397694183,6.325875081713913,4.819545967789862,4.159074701372794,4.121062875141143,4.033673560349439,4.008921673500922,4.025212456171629,3.9981874368574317,3.9542402091876157
2,1981,7.8080837344743586,6.136826231651512,4.7739570333392765,4.210220181850597,4.061077435074583,3.8443721400130753,3.8601577821358535,3.8371738872050876,3.8101488678908897,3.8101488678908897
3,1982,7.861502347417841,6.313120282878707,4.873596006418256,4.231057229452666,4.123336007606822,3.8293442087121883,3.7212441314553995,3.8381841683009448,4.116264039935818,4.116264039935818
4,1983,7.935884293100376,6.506336542461521,4.986242348606407,4.417454091638439,4.3216036726689255,3.986064063707138,3.7803455755630835,3.720612705770488,3.5949589944731684,3.5830881915968384
5,1984,7.978821239674333,6.397731324656802,4.811590004159981,4.2329515065073995,4.19165626671421,4.166525524454745,4.1742289178106615,4.166525524454745,4.105277233018363,3.922163784394129
6,1985,7.822606525227314,6.226488678908897,4.816262554228325,4.33208533903845,4.279550722053844,4.175618054317466,4.077620788019256,4.018393058774589,3.845003565697985,3.8701343079574495
7,1986,8.03135585665894,6.605091519581625,5.048627206275629,4.4278094728709805,4.332337909312415,4.06145629048553,4.103004100552684,4.087218458429905,4.0449129375408575,3.990105188090569
8,1987,8.038932964877874,6.070905390146788,4.768021631901111,4.257450823081952,4.1757443394544485,4.003996553158614,3.9058730017234216,3.9142078207642474,3.793984370357164,3.8191151126166276
9,1988,7.969476139537648,6.53007814821418,4.856168657514709,4.120684019730196,3.992378320556249,3.9258260533666136,3.7704953348784698,3.712909312414572,3.5993789742675464,3.703059071729958
10,1989,7.947502525702741,6.470092708147621,4.953408212991026,4.474534973554407,4.394217626433708,4.260481666369525,4.3503966839008745,4.410508409104415,4.410508409104415,4.410508409104415
11,1990,7.966571581387058,6.515681642598206,5.003164556962026,4.411139834789327,4.309480299518632,4.033547275212457,4.025591311582576,3.9811389433648308,3.9356762940512273,3.8167156950139653
12,1991,7.8191968265287946,6.611405776430736,5.044333511618232,4.455087062459143,4.329433351161824,4.065371129731979,3.8679874606287523,3.8946336245320023,3.9284780412432405,3.9039787246686877
13,1992,8.079470493849172,6.3421658643846195,4.741501753134844,4.221585844178999,4.097321269388483,3.9034735841207593,4.031021572472812,4.046680929458608,3.984422356926368,4.031021572472812
14,1993,7.97010756522256,6.428923753491412,4.865134902240447,4.173344921851786,4.070169964937303,3.7788301539192966,3.861041778094729,3.861041778094729,3.8149477030962156,3.9017055922030077
15,1994,7.881076543650088,6.49951714506448,4.9923040351815535,4.29861977773816,4.227394960480182,4.1427839187020865,4.169935223153266,4.1427839187020865,4.340293872942296,4.2536622689724854
16,1995,8.03400784453557,6.466051583764188,4.794415225530398,4.28333927616331,4.243938313424853,4.12144173055209,4.12939769418197,4.153265585071611,4.243938313424853,4.376158851845249
17,1996,8.07201967076722,6.579203066500269,4.992430320318536,4.428946039103822,4.353932667736376,4.06031972425269,3.984169786652405,4.092396149046176,4.1139909074701375,4.0146045046651215
18,1997,7.9101221251560005,6.25944909966126,4.7287469542996385,4.260355381232543,4.168040946098533,4.177891186783146,3.978108100077258,3.994272597610982,4.236866345753849,4.284854697807096
19,1998,7.904186723717835,6.338629880549116,4.771431330599632,4.2356034943840255,4.141142211921317,3.9673738634337674,3.894128483984074,3.8784691269982763,3.829217923575207,4.029632435966007
20,1999,7.782321566529981,6.26450050514055,4.9789178106614385,4.37451714506448,4.294452368217745,4.155917572948238,4.176375765139359,4.2049162060973435,4.275004457122482,4.359489213763595
21,2000,7.963414452962501,6.831015629642837,5.18451001366851,4.498781719854995,4.335873893147917,4.018519343911571,3.930877458845903,3.9777292446663104,4.058046591787009,3.993136031378143
22,2001,7.975032685564867,6.391795923218638,4.874858857788079,4.195949961371605,4.055142033636418,3.8936233434361447,3.9623224579544782,4.038219825280799,3.903599869257741,3.7590033874130864
23,2002,7.76009538242111,6.136321091103583,4.849728115528615,4.268311344862424,4.143289059250015,3.9484310928864335,3.9638378795982647,3.9638378795982647,4.052363760622809,4.034431271171332
24,2003,7.976674392345636,6.395205621917157,4.868923456349914,4.357342366434897,4.299756343970999,4.198475664111249,4.233835502466275,4.206557912878114,4.098078980210377,3.9902314732275515
25,2004,7.975411540975814,6.256418256373685,5.0222336126463425,4.296472930409461,4.150866167468949,3.9173649491888036,3.9440111130920545,3.9784869554882043,3.907767278778154,3.843488144054199
26,2005,7.877161704403638,6.447992809175731,5.030694716824152,4.35923664348963,4.302787187258573,4.350901824448804,4.4014158792416955,4.273994176026624,3.8936233434361447,3.79095352706959
27,2006,8.052319189397993,6.442688833422476,4.986116063469424,4.434250014857075,4.353553812325429,4.289906103286385,4.452940215130445,4.434250014857075,4.309227729244666,4.2713421881499976
28,2007,7.8463481309799725,6.3011231948653945,5.016803351756107,4.395354192666548,4.267932489451478,4.096816128840554,3.876827420217508,3.8695028822725384,3.8042134664527247,3.82315623700006
29,2008,7.869584596184704,6.43384887383372,4.8449292803232895,4.150992452605931,4.137227372674868,4.039103821239674,3.907767278778154,3.916354668092947,3.8633149105604097,3.782997563439711
30,2009,7.92994889166221,6.381819397397042,4.9926828905925005,4.329559636298805,4.247726867534319,4.247726867534319,4.110581208771618,4.070043679800321,4.429703749925714,4.473903547869495
